address,area,lat,lng,neigh,price,url,avg_price,houses_links,margin
"Two Bid Rd, Evington, VA",130680,37.228184,-79.219078,24550,57000,https://zillow.com/homedetails/Two-Bid-Rd-Evington-VA-24550/2116348914_zpid/,132.62336277812727,"['https://zillow.com/homedetails/305-Cresthaven-Ter-LOT-4-Evington-VA-24550/2092908688_zpid/', 'https://zillow.com/homedetails/639-Castle-Craig-Dr-LOT-8-Evington-VA-24550/2086245689_zpid/', 'https://zillow.com/homedetails/Leesville-Rd-Evington-VA-24550/2126978359_zpid/', 'https://zillow.com/homedetails/195-Clinton-Dr-Evington-VA-24550/84601993_zpid/', 'https://zillow.com/homedetails/251-Davids-Way-Evington-VA-24550/102733964_zpid/', 'https://zillow.com/homedetails/215-Plateau-Dr-Evington-VA-24550/84601798_zpid/', 'https://zillow.com/homedetails/38-Traverse-Dr-LOT-38-Evington-VA-24550/2088550983_zpid/', 'https://zillow.com/homedetails/37-Traverse-Dr-LOT-37-Evington-VA-24550/2088551622_zpid/', 'https://zillow.com/homedetails/49-Traverse-Dr-Evington-VA-24550/2086745677_zpid/', 'https://zillow.com/homedetails/39-Traverse-Dr-LOT-39-Evington-VA-24550/2088551944_zpid/', 'https://zillow.com/homedetails/47-Turning-Point-Dr-LOT-47-Evington-VA-24550/2087267866_zpid/', 'https://zillow.com/homedetails/10445-Colonial-Hwy-Evington-VA-24550/84601776_zpid/', 'https://zillow.com/homedetails/48-Turning-Point-Dr-LOT-48-Evington-VA-24550/2087267865_zpid/', 'https://zillow.com/homedetails/49-Traverse-Dr-LOT-31-Evington-VA-24550/2086771044_zpid/', 'https://zillow.com/homedetails/32-Traverse-Dr-LOT-32-Evington-VA-24550/2087224598_zpid/', 'https://zillow.com/homedetails/43-Wood-Duck-Ct-Evington-VA-24550/220219845_zpid/', 'https://zillow.com/homedetails/11201-Leesville-Rd-Evington-VA-24550/2086989108_zpid/', 'https://zillow.com/homedetails/235-Plateau-Dr-Evington-VA-24550/84601815_zpid/', 'https://zillow.com/homedetails/13335-Leesville-Rd-Evington-VA-24550/84600785_zpid/', 'https://zillow.com/homedetails/145-Davids-Way-Evington-VA-24550/93978973_zpid/', 'https://zillow.com/homedetails/1660-Austin-Mill-Rd-LOT-3-Evington-VA-24550/2086855514_zpid/', 'https://zillow.com/homedetails/31-Traverse-Dr-Evington-VA-24550/2086771045_zpid/', 'https://zillow.com/homedetails/688-Hazel-Dr-Evington-VA-24550/84602065_zpid/']",1148.4414601848162
"800 Arrington Dr, Evington, VA",130680,37.229829,-79.2215,24550,100000,https://zillow.com/homedetails/800-Arrington-Dr-Evington-VA-24550/2086086359_zpid/,132.62336277812727,"['https://zillow.com/homedetails/305-Cresthaven-Ter-LOT-4-Evington-VA-24550/2092908688_zpid/', 'https://zillow.com/homedetails/639-Castle-Craig-Dr-LOT-8-Evington-VA-24550/2086245689_zpid/', 'https://zillow.com/homedetails/Leesville-Rd-Evington-VA-24550/2126978359_zpid/', 'https://zillow.com/homedetails/195-Clinton-Dr-Evington-VA-24550/84601993_zpid/', 'https://zillow.com/homedetails/251-Davids-Way-Evington-VA-24550/102733964_zpid/', 'https://zillow.com/homedetails/215-Plateau-Dr-Evington-VA-24550/84601798_zpid/', 'https://zillow.com/homedetails/38-Traverse-Dr-LOT-38-Evington-VA-24550/2088550983_zpid/', 'https://zillow.com/homedetails/37-Traverse-Dr-LOT-37-Evington-VA-24550/2088551622_zpid/', 'https://zillow.com/homedetails/49-Traverse-Dr-Evington-VA-24550/2086745677_zpid/', 'https://zillow.com/homedetails/39-Traverse-Dr-LOT-39-Evington-VA-24550/2088551944_zpid/', 'https://zillow.com/homedetails/47-Turning-Point-Dr-LOT-47-Evington-VA-24550/2087267866_zpid/', 'https://zillow.com/homedetails/10445-Colonial-Hwy-Evington-VA-24550/84601776_zpid/', 'https://zillow.com/homedetails/48-Turning-Point-Dr-LOT-48-Evington-VA-24550/2087267865_zpid/', 'https://zillow.com/homedetails/49-Traverse-Dr-LOT-31-Evington-VA-24550/2086771044_zpid/', 'https://zillow.com/homedetails/32-Traverse-Dr-LOT-32-Evington-VA-24550/2087224598_zpid/', 'https://zillow.com/homedetails/43-Wood-Duck-Ct-Evington-VA-24550/220219845_zpid/', 'https://zillow.com/homedetails/11201-Leesville-Rd-Evington-VA-24550/2086989108_zpid/', 'https://zillow.com/homedetails/235-Plateau-Dr-Evington-VA-24550/84601815_zpid/', 'https://zillow.com/homedetails/13335-Leesville-Rd-Evington-VA-24550/84600785_zpid/', 'https://zillow.com/homedetails/145-Davids-Way-Evington-VA-24550/93978973_zpid/', 'https://zillow.com/homedetails/1660-Austin-Mill-Rd-LOT-3-Evington-VA-24550/2086855514_zpid/', 'https://zillow.com/homedetails/31-Traverse-Dr-Evington-VA-24550/2086771045_zpid/', 'https://zillow.com/homedetails/688-Hazel-Dr-Evington-VA-24550/84602065_zpid/']",1095.539313088018
"Lot 50 Chapel Grv LOT 50, Evington, VA",42688,37.2463,-79.2605,24550,15900,https://zillow.com/homedetails/Lot-50-Chapel-Grv-LOT-50-Evington-VA-24550/2086446851_zpid/,132.62336277812727,"['https://zillow.com/homedetails/305-Cresthaven-Ter-LOT-4-Evington-VA-24550/2092908688_zpid/', 'https://zillow.com/homedetails/639-Castle-Craig-Dr-LOT-8-Evington-VA-24550/2086245689_zpid/', 'https://zillow.com/homedetails/Leesville-Rd-Evington-VA-24550/2126978359_zpid/', 'https://zillow.com/homedetails/195-Clinton-Dr-Evington-VA-24550/84601993_zpid/', 'https://zillow.com/homedetails/251-Davids-Way-Evington-VA-24550/102733964_zpid/', 'https://zillow.com/homedetails/215-Plateau-Dr-Evington-VA-24550/84601798_zpid/', 'https://zillow.com/homedetails/1226-Blackberry-Ln-Evington-VA-24550/216943164_zpid/', 'https://zillow.com/homedetails/38-Traverse-Dr-LOT-38-Evington-VA-24550/2088550983_zpid/', 'https://zillow.com/homedetails/37-Traverse-Dr-LOT-37-Evington-VA-24550/2088551622_zpid/', 'https://zillow.com/homedetails/49-Traverse-Dr-Evington-VA-24550/2086745677_zpid/', 'https://zillow.com/homedetails/39-Traverse-Dr-LOT-39-Evington-VA-24550/2088551944_zpid/', 'https://zillow.com/homedetails/47-Turning-Point-Dr-LOT-47-Evington-VA-24550/2087267866_zpid/', 'https://zillow.com/homedetails/10445-Colonial-Hwy-Evington-VA-24550/84601776_zpid/', 'https://zillow.com/homedetails/48-Turning-Point-Dr-LOT-48-Evington-VA-24550/2087267865_zpid/', 'https://zillow.com/homedetails/49-Traverse-Dr-LOT-31-Evington-VA-24550/2086771044_zpid/', 'https://zillow.com/homedetails/32-Traverse-Dr-LOT-32-Evington-VA-24550/2087224598_zpid/', 'https://zillow.com/homedetails/43-Wood-Duck-Ct-Evington-VA-24550/220219845_zpid/', 'https://zillow.com/homedetails/11201-Leesville-Rd-Evington-VA-24550/2086989108_zpid/', 'https://zillow.com/homedetails/235-Plateau-Dr-Evington-VA-24550/84601815_zpid/', 'https://zillow.com/homedetails/13335-Leesville-Rd-Evington-VA-24550/84600785_zpid/', 'https://zillow.com/homedetails/145-Davids-Way-Evington-VA-24550/93978973_zpid/', 'https://zillow.com/homedetails/1660-Austin-Mill-Rd-LOT-3-Evington-VA-24550/2086855514_zpid/', 'https://zillow.com/homedetails/31-Traverse-Dr-Evington-VA-24550/2086771045_zpid/', 'https://zillow.com/homedetails/688-Hazel-Dr-Evington-VA-24550/84602065_zpid/']",1159.2299969467354
"44 Two Bid Rd, Evington, VA",130680,37.2463,-79.2605,24550,57000,https://zillow.com/homedetails/44-Two-Bid-Rd-Evington-VA-24550/2086664243_zpid/,132.62336277812727,"['https://zillow.com/homedetails/305-Cresthaven-Ter-LOT-4-Evington-VA-24550/2092908688_zpid/', 'https://zillow.com/homedetails/639-Castle-Craig-Dr-LOT-8-Evington-VA-24550/2086245689_zpid/', 'https://zillow.com/homedetails/Leesville-Rd-Evington-VA-24550/2126978359_zpid/', 'https://zillow.com/homedetails/195-Clinton-Dr-Evington-VA-24550/84601993_zpid/', 'https://zillow.com/homedetails/251-Davids-Way-Evington-VA-24550/102733964_zpid/', 'https://zillow.com/homedetails/215-Plateau-Dr-Evington-VA-24550/84601798_zpid/', 'https://zillow.com/homedetails/1226-Blackberry-Ln-Evington-VA-24550/216943164_zpid/', 'https://zillow.com/homedetails/38-Traverse-Dr-LOT-38-Evington-VA-24550/2088550983_zpid/', 'https://zillow.com/homedetails/37-Traverse-Dr-LOT-37-Evington-VA-24550/2088551622_zpid/', 'https://zillow.com/homedetails/49-Traverse-Dr-Evington-VA-24550/2086745677_zpid/', 'https://zillow.com/homedetails/39-Traverse-Dr-LOT-39-Evington-VA-24550/2088551944_zpid/', 'https://zillow.com/homedetails/47-Turning-Point-Dr-LOT-47-Evington-VA-24550/2087267866_zpid/', 'https://zillow.com/homedetails/10445-Colonial-Hwy-Evington-VA-24550/84601776_zpid/', 'https://zillow.com/homedetails/48-Turning-Point-Dr-LOT-48-Evington-VA-24550/2087267865_zpid/', 'https://zillow.com/homedetails/49-Traverse-Dr-LOT-31-Evington-VA-24550/2086771044_zpid/', 'https://zillow.com/homedetails/32-Traverse-Dr-LOT-32-Evington-VA-24550/2087224598_zpid/', 'https://zillow.com/homedetails/43-Wood-Duck-Ct-Evington-VA-24550/220219845_zpid/', 'https://zillow.com/homedetails/11201-Leesville-Rd-Evington-VA-24550/2086989108_zpid/', 'https://zillow.com/homedetails/235-Plateau-Dr-Evington-VA-24550/84601815_zpid/', 'https://zillow.com/homedetails/13335-Leesville-Rd-Evington-VA-24550/84600785_zpid/', 'https://zillow.com/homedetails/145-Davids-Way-Evington-VA-24550/93978973_zpid/', 'https://zillow.com/homedetails/1660-Austin-Mill-Rd-LOT-3-Evington-VA-24550/2086855514_zpid/', 'https://zillow.com/homedetails/31-Traverse-Dr-Evington-VA-24550/2086771045_zpid/', 'https://zillow.com/homedetails/688-Hazel-Dr-Evington-VA-24550/84602065_zpid/']",1148.4414601848162
"0 Leesville Rd, Evington, VA",675180,37.24987,-79.26069,24550,59500,https://zillow.com/homedetails/0-Leesville-Rd-Evington-VA-24550/2100197885_zpid/,132.62336277812727,"['https://zillow.com/homedetails/305-Cresthaven-Ter-LOT-4-Evington-VA-24550/2092908688_zpid/', 'https://zillow.com/homedetails/639-Castle-Craig-Dr-LOT-8-Evington-VA-24550/2086245689_zpid/', 'https://zillow.com/homedetails/Leesville-Rd-Evington-VA-24550/2126978359_zpid/', 'https://zillow.com/homedetails/195-Clinton-Dr-Evington-VA-24550/84601993_zpid/', 'https://zillow.com/homedetails/251-Davids-Way-Evington-VA-24550/102733964_zpid/', 'https://zillow.com/homedetails/215-Plateau-Dr-Evington-VA-24550/84601798_zpid/', 'https://zillow.com/homedetails/1226-Blackberry-Ln-Evington-VA-24550/216943164_zpid/', 'https://zillow.com/homedetails/38-Traverse-Dr-LOT-38-Evington-VA-24550/2088550983_zpid/', 'https://zillow.com/homedetails/37-Traverse-Dr-LOT-37-Evington-VA-24550/2088551622_zpid/', 'https://zillow.com/homedetails/49-Traverse-Dr-Evington-VA-24550/2086745677_zpid/', 'https://zillow.com/homedetails/39-Traverse-Dr-LOT-39-Evington-VA-24550/2088551944_zpid/', 'https://zillow.com/homedetails/47-Turning-Point-Dr-LOT-47-Evington-VA-24550/2087267866_zpid/', 'https://zillow.com/homedetails/10445-Colonial-Hwy-Evington-VA-24550/84601776_zpid/', 'https://zillow.com/homedetails/48-Turning-Point-Dr-LOT-48-Evington-VA-24550/2087267865_zpid/', 'https://zillow.com/homedetails/49-Traverse-Dr-LOT-31-Evington-VA-24550/2086771044_zpid/', 'https://zillow.com/homedetails/32-Traverse-Dr-LOT-32-Evington-VA-24550/2087224598_zpid/', 'https://zillow.com/homedetails/43-Wood-Duck-Ct-Evington-VA-24550/220219845_zpid/', 'https://zillow.com/homedetails/11201-Leesville-Rd-Evington-VA-24550/2086989108_zpid/', 'https://zillow.com/homedetails/235-Plateau-Dr-Evington-VA-24550/84601815_zpid/', 'https://zillow.com/homedetails/13335-Leesville-Rd-Evington-VA-24550/84600785_zpid/', 'https://zillow.com/homedetails/145-Davids-Way-Evington-VA-24550/93978973_zpid/', 'https://zillow.com/homedetails/1660-Austin-Mill-Rd-LOT-3-Evington-VA-24550/2086855514_zpid/', 'https://zillow.com/homedetails/31-Traverse-Dr-Evington-VA-24550/2086771045_zpid/', 'https://zillow.com/homedetails/688-Hazel-Dr-Evington-VA-24550/84602065_zpid/']",1209.7449403307974
"Austin Mill Rd LOT 7, Evington, VA",97574,37.2462,-79.2604,24550,78500,https://zillow.com/homedetails/Austin-Mill-Rd-LOT-7-Evington-VA-24550/2086816146_zpid/,132.62336277812727,"['https://zillow.com/homedetails/305-Cresthaven-Ter-LOT-4-Evington-VA-24550/2092908688_zpid/', 'https://zillow.com/homedetails/639-Castle-Craig-Dr-LOT-8-Evington-VA-24550/2086245689_zpid/', 'https://zillow.com/homedetails/Leesville-Rd-Evington-VA-24550/2126978359_zpid/', 'https://zillow.com/homedetails/195-Clinton-Dr-Evington-VA-24550/84601993_zpid/', 'https://zillow.com/homedetails/251-Davids-Way-Evington-VA-24550/102733964_zpid/', 'https://zillow.com/homedetails/215-Plateau-Dr-Evington-VA-24550/84601798_zpid/', 'https://zillow.com/homedetails/1226-Blackberry-Ln-Evington-VA-24550/216943164_zpid/', 'https://zillow.com/homedetails/38-Traverse-Dr-LOT-38-Evington-VA-24550/2088550983_zpid/', 'https://zillow.com/homedetails/37-Traverse-Dr-LOT-37-Evington-VA-24550/2088551622_zpid/', 'https://zillow.com/homedetails/49-Traverse-Dr-Evington-VA-24550/2086745677_zpid/', 'https://zillow.com/homedetails/39-Traverse-Dr-LOT-39-Evington-VA-24550/2088551944_zpid/', 'https://zillow.com/homedetails/47-Turning-Point-Dr-LOT-47-Evington-VA-24550/2087267866_zpid/', 'https://zillow.com/homedetails/10445-Colonial-Hwy-Evington-VA-24550/84601776_zpid/', 'https://zillow.com/homedetails/48-Turning-Point-Dr-LOT-48-Evington-VA-24550/2087267865_zpid/', 'https://zillow.com/homedetails/49-Traverse-Dr-LOT-31-Evington-VA-24550/2086771044_zpid/', 'https://zillow.com/homedetails/32-Traverse-Dr-LOT-32-Evington-VA-24550/2087224598_zpid/', 'https://zillow.com/homedetails/43-Wood-Duck-Ct-Evington-VA-24550/220219845_zpid/', 'https://zillow.com/homedetails/11201-Leesville-Rd-Evington-VA-24550/2086989108_zpid/', 'https://zillow.com/homedetails/235-Plateau-Dr-Evington-VA-24550/84601815_zpid/', 'https://zillow.com/homedetails/13335-Leesville-Rd-Evington-VA-24550/84600785_zpid/', 'https://zillow.com/homedetails/145-Davids-Way-Evington-VA-24550/93978973_zpid/', 'https://zillow.com/homedetails/1660-Austin-Mill-Rd-LOT-3-Evington-VA-24550/2086855514_zpid/', 'https://zillow.com/homedetails/31-Traverse-Dr-Evington-VA-24550/2086771045_zpid/', 'https://zillow.com/homedetails/688-Hazel-Dr-Evington-VA-24550/84602065_zpid/']",1089.5207204293388
"Little Ln, Evington, VA",131986,37.2462,-79.2604,24550,45000,https://zillow.com/homedetails/Little-Ln-Evington-VA-24550/2086920104_zpid/,132.62336277812727,"['https://zillow.com/homedetails/305-Cresthaven-Ter-LOT-4-Evington-VA-24550/2092908688_zpid/', 'https://zillow.com/homedetails/639-Castle-Craig-Dr-LOT-8-Evington-VA-24550/2086245689_zpid/', 'https://zillow.com/homedetails/Leesville-Rd-Evington-VA-24550/2126978359_zpid/', 'https://zillow.com/homedetails/195-Clinton-Dr-Evington-VA-24550/84601993_zpid/', 'https://zillow.com/homedetails/251-Davids-Way-Evington-VA-24550/102733964_zpid/', 'https://zillow.com/homedetails/215-Plateau-Dr-Evington-VA-24550/84601798_zpid/', 'https://zillow.com/homedetails/1226-Blackberry-Ln-Evington-VA-24550/216943164_zpid/', 'https://zillow.com/homedetails/38-Traverse-Dr-LOT-38-Evington-VA-24550/2088550983_zpid/', 'https://zillow.com/homedetails/37-Traverse-Dr-LOT-37-Evington-VA-24550/2088551622_zpid/', 'https://zillow.com/homedetails/49-Traverse-Dr-Evington-VA-24550/2086745677_zpid/', 'https://zillow.com/homedetails/39-Traverse-Dr-LOT-39-Evington-VA-24550/2088551944_zpid/', 'https://zillow.com/homedetails/47-Turning-Point-Dr-LOT-47-Evington-VA-24550/2087267866_zpid/', 'https://zillow.com/homedetails/10445-Colonial-Hwy-Evington-VA-24550/84601776_zpid/', 'https://zillow.com/homedetails/48-Turning-Point-Dr-LOT-48-Evington-VA-24550/2087267865_zpid/', 'https://zillow.com/homedetails/49-Traverse-Dr-LOT-31-Evington-VA-24550/2086771044_zpid/', 'https://zillow.com/homedetails/32-Traverse-Dr-LOT-32-Evington-VA-24550/2087224598_zpid/', 'https://zillow.com/homedetails/43-Wood-Duck-Ct-Evington-VA-24550/220219845_zpid/', 'https://zillow.com/homedetails/11201-Leesville-Rd-Evington-VA-24550/2086989108_zpid/', 'https://zillow.com/homedetails/235-Plateau-Dr-Evington-VA-24550/84601815_zpid/', 'https://zillow.com/homedetails/13335-Leesville-Rd-Evington-VA-24550/84600785_zpid/', 'https://zillow.com/homedetails/145-Davids-Way-Evington-VA-24550/93978973_zpid/', 'https://zillow.com/homedetails/1660-Austin-Mill-Rd-LOT-3-Evington-VA-24550/2086855514_zpid/', 'https://zillow.com/homedetails/31-Traverse-Dr-Evington-VA-24550/2086771045_zpid/', 'https://zillow.com/homedetails/688-Hazel-Dr-Evington-VA-24550/84602065_zpid/']",1164.6376012995881
"Lot 49 Two Bid Rd LOT 49, Evington, VA",131551,37.2461,-79.2603,24550,65900,https://zillow.com/homedetails/Lot-49-Two-Bid-Rd-LOT-49-Evington-VA-24550/2090375257_zpid/,132.62336277812727,"['https://zillow.com/homedetails/305-Cresthaven-Ter-LOT-4-Evington-VA-24550/2092908688_zpid/', 'https://zillow.com/homedetails/639-Castle-Craig-Dr-LOT-8-Evington-VA-24550/2086245689_zpid/', 'https://zillow.com/homedetails/Leesville-Rd-Evington-VA-24550/2126978359_zpid/', 'https://zillow.com/homedetails/195-Clinton-Dr-Evington-VA-24550/84601993_zpid/', 'https://zillow.com/homedetails/251-Davids-Way-Evington-VA-24550/102733964_zpid/', 'https://zillow.com/homedetails/215-Plateau-Dr-Evington-VA-24550/84601798_zpid/', 'https://zillow.com/homedetails/1226-Blackberry-Ln-Evington-VA-24550/216943164_zpid/', 'https://zillow.com/homedetails/38-Traverse-Dr-LOT-38-Evington-VA-24550/2088550983_zpid/', 'https://zillow.com/homedetails/37-Traverse-Dr-LOT-37-Evington-VA-24550/2088551622_zpid/', 'https://zillow.com/homedetails/49-Traverse-Dr-Evington-VA-24550/2086745677_zpid/', 'https://zillow.com/homedetails/39-Traverse-Dr-LOT-39-Evington-VA-24550/2088551944_zpid/', 'https://zillow.com/homedetails/47-Turning-Point-Dr-LOT-47-Evington-VA-24550/2087267866_zpid/', 'https://zillow.com/homedetails/10445-Colonial-Hwy-Evington-VA-24550/84601776_zpid/', 'https://zillow.com/homedetails/48-Turning-Point-Dr-LOT-48-Evington-VA-24550/2087267865_zpid/', 'https://zillow.com/homedetails/49-Traverse-Dr-LOT-31-Evington-VA-24550/2086771044_zpid/', 'https://zillow.com/homedetails/32-Traverse-Dr-LOT-32-Evington-VA-24550/2087224598_zpid/', 'https://zillow.com/homedetails/43-Wood-Duck-Ct-Evington-VA-24550/220219845_zpid/', 'https://zillow.com/homedetails/11201-Leesville-Rd-Evington-VA-24550/2086989108_zpid/', 'https://zillow.com/homedetails/235-Plateau-Dr-Evington-VA-24550/84601815_zpid/', 'https://zillow.com/homedetails/13335-Leesville-Rd-Evington-VA-24550/84600785_zpid/', 'https://zillow.com/homedetails/145-Davids-Way-Evington-VA-24550/93978973_zpid/', 'https://zillow.com/homedetails/1660-Austin-Mill-Rd-LOT-3-Evington-VA-24550/2086855514_zpid/', 'https://zillow.com/homedetails/31-Traverse-Dr-Evington-VA-24550/2086771045_zpid/', 'https://zillow.com/homedetails/688-Hazel-Dr-Evington-VA-24550/84602065_zpid/']",1137.6618760016697
